k_col,num_sig_clusters,sum_neg_auc,within_mean,between_mean
Cluster_k19,12,4.965188970071997,0.33945416532157324,0.8314626769315957
Cluster_k18,11,4.713278755914824,0.3408874424525775,0.820231851326741
Cluster_k20,10,4.832494247011104,0.34218939185567443,0.8437336515272147
Cluster_k16,10,3.995782514833865,0.36415884197639264,0.8252288094898773
Cluster_k12,9,3.8400345843367263,0.3651077466342653,0.8219159746228791
Cluster_k11,9,3.5438487550267253,0.3697221716136946,0.811146545472434
Cluster_k13,9,3.4742095906827117,0.35943792902203864,0.8166485163219876
Cluster_k17,8,4.312152133188516,0.38094156947899593,0.8139400344608494
Cluster_k15,8,3.682007421856335,0.364015102679488,0.8226983325828354
Cluster_k10,8,3.1902104147808843,0.38611799539699593,0.8092363423134141
Cluster_k14,7,3.585471739156145,0.35668690205960435,0.8246215417820287
Cluster_k9,7,2.920555143732745,0.4116430744674002,0.8330501684739275
Cluster_k8,6,2.7806609547629337,0.440969579529925,0.8146568344518786
Cluster_k7,5,2.5575761980323657,0.45683117027146064,0.7999084051344909
Cluster_k6,4,2.3715108068292308,0.5074769370690788,0.794930243007204
Cluster_k5,3,2.251781236885451,0.4512714624488609,0.7160652841736213
Cluster_k4,3,1.9601301412183088,0.3640093967798177,0.7703348292843092
Cluster_k3,3,1.757638445564779,0.3784100434939109,0.6820402527144703
